CarID,FeatureID
C49991,F03
C48634,F01
C00803,F06
C43553,F04
C14475,F04
C19348,F04
C08618,F03
C17114,F02
C27478,F03
C14774,F03
C09024,F06
C14895,F05
C45341,F02
C19714,F05
C48296,F03
C48408,F04
C30682,F05
C38417,F01
C10878,F02
C40269,F05
C22047,F04
C24080,F05
C41114,F01
C38243,F04
C48350,F03
C34163,F04
C38031,F01
C24976,F03
C49129,F01
C34944,F01
C00533,F03
C19719,F05
C02991,F06
C41952,F03
C39398,F03
C30405,F02
C05755,F06
C19346,F06
C20466,F02
C35007,F04
C25916,F04
C15558,F05
C24682,F04
C45877,F06
C23091,F04
C45357,F02
C33899,F02
C10135,F02
C48104,F04
C26760,F02
C02559,F04
C48119,F06
C36156,F05
C11551,F05
C02716,F02
C23049,F04
C16872,F05
C34105,F03
C05529,F04
C47263,F02
C11757,F05
C20917,F05
C20966,F05
C24380,F01
C16469,F06
C34870,F03
C43871,F05
C43835,F02
C04343,F03
C36110,F03
C17194,F05
C26384,F05
C43553,F02
C12540,F01
C43717,F04
C23038,F02
C02865,F06
C33429,F01
C40974,F04
C46379,F05
C19530,F06
C09936,F04
C32651,F04
C09058,F04
C16613,F04
C13633,F04
C14301,F04
C49372,F01
C44579,F01
C17531,F03
C16422,F03
C34163,F02
C37576,F06
C42348,F02
C12470,F02
C32685,F02
C43298,F02
C01838,F03
C16229,F02
C35066,F06
C00747,F02
C08861,F01
C18730,F01
C35007,F02
C25916,F02
C21451,F01
C44189,F03
C24391,F02
C37982,F05
C01125,F01
C17392,F06
C17821,F01
C27920,F04
C00408,F03
C13259,F05
C10860,F05
C24885,F01
C11563,F01
C30516,F04
C40949,F04
C13624,F04
C13083,F04
C28067,F06
C22780,F05
C11188,F05
C42098,F05
C06070,F06
C04274,F03
C31895,F03
C39581,F04
C06852,F06
C23049,F02
C16708,F04
C03420,F05
C42371,F02
C28601,F06
C16482,F03
C47419,F03
C26691,F03
C08328,F05
C17703,F04
C19604,F06
C18481,F03
C30167,F05
C06700,F04
C22072,F04
C29641,F05
C20319,F04
C03220,F06
C44843,F01
C31207,F01
C47655,F01
C18499,F06
C12170,F02
C03654,F06
C05772,F02
C06825,F06
C18509,F05
C46987,F06
C39265,F03
C30231,F04
C12475,F01
C28704,F04
C30002,F04
C30053,F06
C11988,F03
C44070,F02
C20965,F05
C46559,F01
C37011,F05
C28533,F01
C31680,F02
C35221,F04
C04111,F02
C49015,F04
C15467,F01
C12617,F04
C28809,F06
C27920,F02
C30519,F05
C21346,F04
C10828,F06
C43622,F06
C47769,F03
C48272,F06
C27143,F01
C40798,F04
C15667,F04
C28284,F05
C08664,F06
C38331,F06
C42946,F01
C13469,F06
C47289,F04
C07641,F02
C41337,F04
C44220,F04
C40377,F04
C06700,F02
C22072,F02
C22493,F02
C43841,F02
C41365,F05
C41242,F01
C02994,F03
C02773,F01
C19883,F06
C09807,F05
C20418,F06
C25783,F03
C19757,F04
C22385,F03
C06497,F05
C40469,F01
C47471,F02
C28239,F04
C30231,F02
C40672,F05
C12994,F04
C03762,F02
C16630,F02
C44376,F01
C10394,F03
C47521,F01
C32826,F04
C12934,F04
C21975,F06
C09331,F03
C30998,F03
C18069,F04
C09633,F05
C19273,F02
C30841,F01
C07651,F03
C46266,F04
C17705,F06
C40805,F05
C05523,F01
C41705,F03
C46341,F01
C35221,F02
C41057,F06
C36620,F01
C08427,F03
C29888,F06
C12617,F02
C00843,F06
C15459,F05
C17193,F05
C21927,F05
C27614,F01
C04776,F03
C16358,F03
C45876,F06
C42189,F02
C32274,F05
C21346,F02
C35689,F01
C06647,F05
C26849,F01
C00746,F06
C07181,F05
C28194,F04
C22708,F04
C46698,F02
C41945,F06
C40798,F02
C21595,F02
C29003,F04
C09254,F04
C15667,F02
C22226,F05
C08910,F05
C32504,F06
C03212,F01
C15461,F01
C01418,F01
C19379,F04
C31573,F01
C13971,F06
C42882,F03
C28444,F05
C30945,F06
C29369,F04
C29160,F06
C26766,F01
C12452,F05
C19968,F04
C49477,F06
C20030,F04
C30434,F05
C08332,F03
C03367,F05
C47643,F01
C01865,F05
C12682,F05
C45887,F02
C21725,F02
C16291,F03
C12969,F04
C45076,F01
C04620,F02
C19538,F04
C46101,F03
C13612,F04
C32177,F05
C32057,F01
C29590,F01
C30607,F05
C11381,F01
C47911,F03
C07896,F02
C34118,F01
C48978,F06
C39588,F03
C04420,F04
C35896,F05
C45405,F06
C41469,F04
C00182,F06
C40880,F04
C17597,F06
C15319,F05
C25261,F05
C19647,F03
C00430,F04
C19560,F03
C16585,F01
C29696,F03
C39188,F04
C20183,F06
C03793,F03
C38731,F05
C42120,F06
C17300,F01
C45485,F06
C19007,F03
C23009,F04
C29926,F03
C02837,F03
C37058,F02
C45132,F01
C32879,F01
C10272,F05
C20242,F04
C09283,F06
C33785,F02
C03974,F01
C20334,F06
C09254,F02
C37691,F02
C04460,F04
C17833,F02
C01901,F04
C04011,F01
C12025,F04
C03620,F03
C19379,F02
C32630,F06
C27392,F05
C20796,F03
C36212,F05
C29369,F02
C35027,F01
C14669,F02
C20603,F03
C46393,F01
C28310,F03
C06760,F03
C12762,F05
C00252,F05
C42807,F04
C11853,F01
C19056,F01
C26678,F06
C24166,F04
C08932,F03
C41034,F04
C23110,F01
C06421,F01
C28193,F06
C14030,F06
C44101,F06
C10588,F05
C22461,F05
C30326,F06
C19538,F02
C23873,F03
C04094,F01
C03768,F03
C47028,F04
C35144,F01
C46036,F02
C03445,F01
C08436,F04
C08296,F04
C03664,F06
C03026,F04
C17005,F02
C16626,F06
C45847,F03
C03249,F03
C43237,F06
C04420,F02
C10497,F03
C40880,F02
C42075,F03
C21083,F06
C00430,F02
C22189,F02
C39188,F02
C24412,F05
C16452,F06
C20808,F04
C09524,F06
C06234,F04
C32741,F05
C25805,F06
C09074,F04
C18210,F04
C20242,F02
C20019,F02
C07946,F06
C17480,F02
C33487,F01
C27508,F04
C30027,F04
C38319,F03
C47040,F03
C07525,F05
C32477,F04
C20714,F06
C23470,F01
C42035,F01
C33840,F03
C20437,F01
C37581,F05
C42271,F03
C47553,F02
C27064,F01
C05695,F03
C24166,F02
C15542,F04
C34931,F04
C07163,F06
