CarID,ModelID,DealerID,Year_of_Manufacturing,Mileage,Price
C33554,M001,D001,2020,21317,68597
C09428,M002,D002,2018,22500,35276
C00200,M003,D003,2013,79521,17370
C12448,M004,D004,2003,159534,3213
C39490,M005,D005,2000,126511,4832
C42725,M006,D005,2008,116195,12110
C10823,M007,D005,1997,187190,1948
C49499,M008,D006,2004,111729,11887
C04145,M009,D007,2005,120820,6083
C36959,M010,D008,2001,93427,5081
C43107,M008,D009,1999,141271,6765
C38696,M005,D010,1999,134793,4235
C06189,M011,D011,1996,103099,5296
C01415,M012,D008,1989,121692,1801
C18472,M013,D012,2020,17010,38572
C29283,M014,D013,2017,47438,25244
C15178,M015,D014,2007,69317,20591
C34305,M016,D006,2013,63590,21651
C12610,M017,D015,2004,103927,9459
C12145,M018,D003,2001,222751,2589
C06114,M019,D016,2002,39712,11587
C15909,M020,D003,2003,80459,5376
C00822,M021,D017,1995,168060,1420
C15119,M022,D018,1994,102413,2386
C13467,M018,D019,1999,120608,5366
C26498,M023,D020,1998,125434,4506
C42112,M024,D001,2005,172021,6462
C30189,M025,D021,2013,28330,21573
C37238,M026,D005,2006,121540,11957
C33110,M027,D022,2020,25702,22880
C36481,M003,D023,2001,117716,5910
C24149,M028,D018,2015,79169,10426
C05504,M029,D024,1995,178581,3004
C03919,M009,D025,2001,136293,4127
C38479,M030,D011,2012,86919,13876
C21124,M031,D009,2001,48482,11592
C49718,M032,D026,2016,30900,18376
C42295,M002,D027,1990,119469,2855
C47610,M011,D011,2021,10523,50532
C11077,M011,D012,2004,152139,6156
C41515,M033,D014,2006,54504,16805
C22063,M009,D028,2005,63240,9177
C09414,M034,D007,1988,226696,747
C38341,M035,D027,2001,133436,5883
C30264,M036,D029,2016,54760,58952
C41253,M003,D025,2008,68737,13389
C14645,M037,D028,2015,47828,26058
C26336,M013,D030,1992,202267,1523
C28103,M003,D031,1998,183360,2831
C17524,M038,D015,2006,92627,23857
C24713,M039,D019,2021,11987,51610
C40486,M040,D018,2014,61295,23451
C03851,M013,D032,1994,112795,3642
C40041,M041,D013,1995,189526,1494
C15268,M042,D033,2003,61546,10151
C49147,M043,D034,1998,175373,9616
C30002,M002,D022,2002,128295,5935
C45927,M044,D035,2002,126595,3658
C43825,M003,D010,1998,115774,4911
C17241,M045,D033,2002,111256,22436
C04893,M018,D013,2006,134337,7687
C00726,M032,D036,1986,260477,404
C22950,M027,D015,2020,18048,23872
C34658,M046,D037,2015,27281,26036
C37214,M027,D017,2001,100417,3963
C20305,M047,D027,2003,96636,8916
C15270,M010,D001,1991,205293,1052
C22368,M001,D038,2006,78198,18946
C42685,M048,D002,2018,20250,35392
C46735,M012,D039,2016,32228,20035
C11733,M032,D040,2018,30622,21030
C18620,M007,D035,2017,28811,23761
C48493,M045,D020,2014,47726,77284
C26804,M049,D041,1993,101956,3716
C44306,M009,D006,1992,97933,3035
C47523,M023,D026,2008,90039,11427
C32208,M050,D003,1995,153954,2559
C02531,M022,D008,2001,169486,2234
C17747,M051,D033,1984,132809,1434
C08271,M014,D014,1991,186523,1559
C15080,M052,D025,2007,72391,17754
C13625,M016,D027,1989,235879,1090
C30639,M004,D032,2012,64730,11931
C30441,M016,D023,1997,131620,4551
C36057,M011,D031,1995,184914,2562
C42652,M015,D039,2013,76610,29243
C36804,M035,D018,2015,31043,30364
C48225,M016,D013,1996,99271,5444
C29227,M053,D042,2000,129137,6002
C05634,M022,D017,2017,15811,19276
C05988,M016,D006,2021,7229,51382
C48064,M003,D040,2018,29353,33290
C01813,M008,D012,2018,46665,47262
C27579,M006,D018,1994,230780,1808
C16824,M028,D006,2000,123811,2764
C03929,M010,D009,2002,91399,5511
C37287,M016,D024,1990,244406,1078
C25046,M005,D043,2013,47829,19989
C15728,M018,D044,1996,85687,5682
C29601,M033,D035,1990,212400,1682
C10431,M044,D045,1988,92266,1860
C25769,M044,D046,2017,30751,19155
C29104,M050,D030,2005,169013,4396
C36538,M012,D022,2018,13452,25416
C39329,M034,D035,2016,45075,20047
C35540,M025,D041,2007,122490,7642
C28076,M022,D010,2015,68890,12244
C17841,M004,D047,2011,93557,9154
C27803,M043,D033,1997,209267,6694
C07683,M034,D046,1999,114939,3990
C24280,M003,D033,2020,6881,42995
C33071,M026,D008,2002,99708,10790
C35558,M039,D005,1992,137762,3198
C37190,M033,D031,1994,143418,3959
C47150,M054,D037,2014,40717,29670
C46916,M007,D033,1995,128433,2773
C09802,M017,D018,2008,114738,11389
C38801,M005,D006,2019,32123,32759
C24670,M003,D029,2012,93662,14710
